,kalimat,kalimat_token
591,baru tau kai access ada pembaruan pas mau pesen tiket aplikasinya lancar banget,"['baru', 'tau', 'kai', 'access', 'ada', 'pembaruan', 'pas', 'mau', 'pesen', 'tiket', 'aplikasinya', 'lancar', 'banget']"
68,tampilan yg semakin memudahkan,"['tampilan', 'yg', 'semakin', 'memudahkan']"
15,cepat senyap simpel joooooooozzz berangkat,"['cepat', 'senyap', 'simpel', 'joooooooozzz', 'berangkat']"
395,udah satu jam lebih beli tiket tapi muter trus loding kalo loding pembayaran nya jangan kasih waktu ulang lagi ulang lagi waktu kadaluarsa karena loding,"['udah', 'satu', 'jam', 'lebih', 'beli', 'tiket', 'tapi', 'muter', 'trus', 'loding', 'kalo', 'loding', 'pembayaran', 'nya', 'jangan', 'kasih', 'waktu', 'ulang', 'lagi', 'ulang', 'lagi', 'waktu', 'kadaluarsa', 'karena', 'loding']"
234,poin penting review kai access access by kai dari semua yg paling mencolok adalah fitur pemesanan opsi railfood dan layanan lainnya seharusnya tidak perlu masuk biarkan itu dipesan sendiri karena menurut saya jadi tidak efisien saat masa hari raya yang trafic pemesanan tiket padat apalagi jika dikejar waktu kemudian pemilihan kursi tampilan denah kursi terlalu besar sehingga harus scroll lama dan tidak ramah penggunaan begitu kiga dengan opsi gerbong yang ada dibawah seperti itu,"['poin', 'penting', 'review', 'kai', 'access', 'access', 'by', 'kai', 'dari', 'semua', 'yg', 'paling', 'mencolok', 'adalah', 'fitur', 'pemesanan', 'opsi', 'railfood', 'dan', 'layanan', 'lainnya', 'seharusnya', 'tidak', 'perlu', 'masuk', 'biarkan', 'itu', 'dipesan', 'sendiri', 'karena', 'menurut', 'saya', 'jadi', 'tidak', 'efisien', 'saat', 'masa', 'hari', 'raya', 'yang', 'trafic', 'pemesanan', 'tiket', 'padat', 'apalagi', 'jika', 'dikejar', 'waktu', 'kemudian', 'pemilihan', 'kursi', 'tampilan', 'denah', 'kursi', 'terlalu', 'besar', 'sehingga', 'harus', 'scroll', 'lama', 'dan', 'tidak', 'ramah', 'penggunaan', 'begitu', 'kiga', 'dengan', 'opsi', 'gerbong', 'yang', 'ada', 'dibawah', 'seperti', 'itu']"
88,kini versi terbaru access by kai jauh lebih baik daripada versi sebelumnya lebih modern dan colorful saran saya tambahkan beberapa fitur lain dan perbaiki beberapa bug yang masih ada maju terus kai,"['kini', 'versi', 'terbaru', 'access', 'by', 'kai', 'jauh', 'lebih', 'baik', 'daripada', 'versi', 'sebelumnya', 'lebih', 'modern', 'dan', 'colorful', 'saran', 'saya', 'tambahkan', 'beberapa', 'fitur', 'lain', 'dan', 'perbaiki', 'beberapa', 'bug', 'yang', 'masih', 'ada', 'maju', 'terus', 'kai']"
516,dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta kajj versi baru pendingnya lumayan lama,"['dari', 'segi', 'tampilan', 'udah', 'oke', 'tapi', 'udah', 'nyaman', 'sama', 'versi', 'lama', 'dan', 'lebih', 'satset', 'tiap', 'pembelian', 'kerta', 'kajj', 'versi', 'baru', 'pendingnya', 'lumayan', 'lama']"
117,ternyata tidak sepenuhnya memudahkan proses boarding tetap diminta ktp untuk pengecekan apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek ktp aplikasi tidak berguna tambahan tampilan juga bikin ribet kalo mau pilih kereta beda dengan aplikasi sebelumnya jadi menyesal upgrade ke access kai,"['ternyata', 'tidak', 'sepenuhnya', 'memudahkan', 'proses', 'boarding', 'tetap', 'diminta', 'ktp', 'untuk', 'pengecekan', 'apa', 'gunanya', 'kita', 'mengisi', 'data', 'pribadi', 'saat', 'buat', 'akun', 'kalo', 'hanya', 'bikin', 'ribet', 'cek', 'ktp', 'aplikasi', 'tidak', 'berguna', 'tambahan', 'tampilan', 'juga', 'bikin', 'ribet', 'kalo', 'mau', 'pilih', 'kereta', 'beda', 'dengan', 'aplikasi', 'sebelumnya', 'jadi', 'menyesal', 'upgrade', 'ke', 'access', 'kai']"
405,bikin aplikasi kok sampai bisa di akses eror sampai hampir bisa dapat tiket di aplikasi gara eror akhirnya ya manual di stasiun,"['bikin', 'aplikasi', 'kok', 'sampai', 'bisa', 'di', 'akses', 'eror', 'sampai', 'hampir', 'bisa', 'dapat', 'tiket', 'di', 'aplikasi', 'gara', 'eror', 'akhirnya', 'ya', 'manual', 'di', 'stasiun']"
430,setelah di upgrade jd susah mesen tiketnya sering pesan dengan metode pembayaran link aja pdhl di hp udah terpasang aplikasinya tp disuruh download,"['setelah', 'di', 'upgrade', 'jd', 'susah', 'mesen', 'tiketnya', 'sering', 'pesan', 'dengan', 'metode', 'pembayaran', 'link', 'aja', 'pdhl', 'di', 'hp', 'udah', 'terpasang', 'aplikasinya', 'tp', 'disuruh', 'download']"
33,jadi ga ramah tampilan user interface nya,"['jadi', 'ga', 'ramah', 'tampilan', 'user', 'interface', 'nya']"
0,semenjak aplikasinya update jadi makin lemot hadehh,"['semenjak', 'aplikasinya', 'update', 'jadi', 'makin', 'lemot', 'hadehh']"
609,saya pelanggan setia kai merasa paus dengan versi terbaruny memudahkan dlm segala hal pesan tiket mudah cek tiket kereta mudah bayrnya mudah fitur tambahan yng juga berguna bagi saya salutnya dg tambahan fitur yg banyak tpai masih lancar terus ga lemot lemot,"['saya', 'pelanggan', 'setia', 'kai', 'merasa', 'paus', 'dengan', 'versi', 'terbaruny', 'memudahkan', 'dlm', 'segala', 'hal', 'pesan', 'tiket', 'mudah', 'cek', 'tiket', 'kereta', 'mudah', 'bayrnya', 'mudah', 'fitur', 'tambahan', 'yng', 'juga', 'berguna', 'bagi', 'saya', 'salutnya', 'dg', 'tambahan', 'fitur', 'yg', 'banyak', 'tpai', 'masih', 'lancar', 'terus', 'ga', 'lemot', 'lemot']"
192,sudah byk plusnya daripada yang lama metode pembayaran jg banyk beli tiket jadi sangat mudah bgt lacar jg,"['sudah', 'byk', 'plusnya', 'daripada', 'yang', 'lama', 'metode', 'pembayaran', 'jg', 'banyk', 'beli', 'tiket', 'jadi', 'sangat', 'mudah', 'bgt', 'lacar', 'jg']"
365,tampilan memang bagus setelah di update tetapi kulitas aplikasi lebih baik versi sebelumnya,"['tampilan', 'memang', 'bagus', 'setelah', 'di', 'update', 'tetapi', 'kulitas', 'aplikasi', 'lebih', 'baik', 'versi', 'sebelumnya']"
603,diupgrade malah tambah lancar dari proses login sampe pambayran tiket,"['diupgrade', 'malah', 'tambah', 'lancar', 'dari', 'proses', 'login', 'sampe', 'pambayran', 'tiket']"
