,kalimat,kalimat_token
209,semenjak perbaruan pesan tiket kereta memuatnya lama banget parah jadi ketinggalan kereta gara gara mau pesan tiket tetapi memuatnya gila lama banget kecewa,"['semenjak', 'perbaruan', 'pesan', 'tiket', 'kereta', 'memuatnya', 'lama', 'banget', 'parah', 'jadi', 'ketinggalan', 'kereta', 'gara', 'gara', 'mau', 'pesan', 'tiket', 'tetapi', 'memuatnya', 'gila', 'lama', 'banget', 'kecewa']"
481,bagus benar benar bagus baik performa tampilan,"['bagus', 'benar', 'benar', 'bagus', 'baik', 'performa', 'tampilan']"
480,habis tak memperbarui tampilkan baru malah makin bagus dan jadi makin lancar mau cari tiket juga gampang,"['habis', 'tak', 'memperbarui', 'tampilkan', 'baru', 'malah', 'makin', 'bagus', 'dan', 'jadi', 'makin', 'lancar', 'mau', 'cari', 'tiket', 'juga', 'gampang']"
327,baru buka aplikasi saja kok sudah lambat ya padahal sudah ditingkatkan,"['baru', 'buka', 'aplikasi', 'saja', 'kok', 'sudah', 'lambat', 'ya', 'padahal', 'sudah', 'ditingkatkan']"
204,jadi malas pakainya setelah pembaruan enggak bisa masuk memuat terus jadi ribetmu masih tiket gedy ,"['jadi', 'malas', 'pakainya', 'setelah', 'pembaruan', 'enggak', 'bisa', 'masuk', 'memuat', 'terus', 'jadi', 'ribetmu', 'masih', 'tiket', 'gedy']"
153,saya senang dengan pembaruan aplikasi ini karena di aplikasi kai accesa saat ini saya bisa melakukan perbarui nomor telepon seluler karena di aplikasi sebelumnya tidak bisa dan sering gagal ditambah fitura fitura terbarunya yang sangat membantu penggunanya buat performanya juga makin canggih dan makin cepat,"['saya', 'senang', 'dengan', 'pembaruan', 'aplikasi', 'ini', 'karena', 'di', 'aplikasi', 'kai', 'accesa', 'saat', 'ini', 'saya', 'bisa', 'melakukan', 'perbarui', 'nomor', 'telepon', 'seluler', 'karena', 'di', 'aplikasi', 'sebelumnya', 'tidak', 'bisa', 'dan', 'sering', 'gagal', 'ditambah', 'fitura', 'fitura', 'terbarunya', 'yang', 'sangat', 'membantu', 'penggunanya', 'buat', 'performanya', 'juga', 'makin', 'canggih', 'dan', 'makin', 'cepat']"
75,pembaruannya bagus bagus banget apalagi tampulannya jadi lebih baru,"['pembaruannya', 'bagus', 'bagus', 'banget', 'apalagi', 'tampulannya', 'jadi', 'lebih', 'baru']"
92,aplikasinya perbaruan sendiri tetapi setelah terbaru tidak bisa lagi melihat jadwal kereta,"['aplikasinya', 'perbaruan', 'sendiri', 'tetapi', 'setelah', 'terbaru', 'tidak', 'bisa', 'lagi', 'melihat', 'jadwal', 'kereta']"
591,baru tahu kai access ada pembaruan pas mau pesan tiket aplikasinya lancar banget,"['baru', 'tahu', 'kai', 'access', 'ada', 'pembaruan', 'pas', 'mau', 'pesan', 'tiket', 'aplikasinya', 'lancar', 'banget']"
68,tampilan yang makin memudahkan,"['tampilan', 'yang', 'makin', 'memudahkan']"
15,cepat senyap simpel oh berangkat,"['cepat', 'senyap', 'simpel', 'oh', 'berangkat']"
395,sudah satu jam lebih beli tiket tetapi berputar terus memuat kalau memuat pembayarannya jangan kasih waktu ulang lagi ulang lagi waktu kedaluwarsa karena memuat,"['sudah', 'satu', 'jam', 'lebih', 'beli', 'tiket', 'tetapi', 'berputar', 'terus', 'memuat', 'kalau', 'memuat', 'pembayarannya', 'jangan', 'kasih', 'waktu', 'ulang', 'lagi', 'ulang', 'lagi', 'waktu', 'kedaluwarsa', 'karena', 'memuat']"
234,poin penting ulasan kai access access by kai dari semua yang paling mencolok adalah fitur pemesanan opsi railfood dan layanan lainnya seharusnya tidak perlu masuk biarkan itu dipesan sendiri karena menurut saya jadi tidak efisien saat masa hari raya yang lalu lintas pemesanan tiket padat apalagi jika dikejar waktu kemudian pemilihan kursi tampilan denah kursi terlalu besar sehingga harus gulir lama dan tidak ramah penggunaan begitu kiga dengan opsi gerbong yang ada di bawah seperti itu,"['poin', 'penting', 'ulasan', 'kai', 'access', 'access', 'by', 'kai', 'dari', 'semua', 'yang', 'paling', 'mencolok', 'adalah', 'fitur', 'pemesanan', 'opsi', 'railfood', 'dan', 'layanan', 'lainnya', 'seharusnya', 'tidak', 'perlu', 'masuk', 'biarkan', 'itu', 'dipesan', 'sendiri', 'karena', 'menurut', 'saya', 'jadi', 'tidak', 'efisien', 'saat', 'masa', 'hari', 'raya', 'yang', 'lalu', 'lintas', 'pemesanan', 'tiket', 'padat', 'apalagi', 'jika', 'dikejar', 'waktu', 'kemudian', 'pemilihan', 'kursi', 'tampilan', 'denah', 'kursi', 'terlalu', 'besar', 'sehingga', 'harus', 'gulir', 'lama', 'dan', 'tidak', 'ramah', 'penggunaan', 'begitu', 'kiga', 'dengan', 'opsi', 'gerbong', 'yang', 'ada', 'di', 'bawah', 'seperti', 'itu']"
88,kini versi terbaru access by kai jauh lebih baik daripada versi sebelumnya lebih modern dan colorful saran saya tambahkan beberapa fitur lain dan perbaiki beberapa eror yang masih ada maju terus kai,"['kini', 'versi', 'terbaru', 'access', 'by', 'kai', 'jauh', 'lebih', 'baik', 'daripada', 'versi', 'sebelumnya', 'lebih', 'modern', 'dan', 'colorful', 'saran', 'saya', 'tambahkan', 'beberapa', 'fitur', 'lain', 'dan', 'perbaiki', 'beberapa', 'eror', 'yang', 'masih', 'ada', 'maju', 'terus', 'kai']"
516,dari segi tampilan sudah oke tetapi sudah nyaman sama versi lama dan lebih satset tiap pembelian kerta kaja versi baru tertundanya lumayan lama,"['dari', 'segi', 'tampilan', 'sudah', 'oke', 'tetapi', 'sudah', 'nyaman', 'sama', 'versi', 'lama', 'dan', 'lebih', 'satset', 'tiap', 'pembelian', 'kerta', 'kaja', 'versi', 'baru', 'tertundanya', 'lumayan', 'lama']"
