,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__gamma,param_classifier__kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
60,0.24177010854085287,0.010188375406343498,0.10526625315348308,0.006344552782215833,0.01,100,linear,"{'classifier__C': 0.01, 'classifier__gamma': 100, 'classifier__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,48
61,0.47670944531758624,0.010934649590547227,0.4815581639607747,0.0036472362309445615,0.01,100,rbf,"{'classifier__C': 0.01, 'classifier__gamma': 100, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
62,0.6435485680898031,0.005452626719737933,0.2959921360015869,0.005735335384985103,0.01,100,poly,"{'classifier__C': 0.01, 'classifier__gamma': 100, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
63,0.23765436808268228,0.003939736431116653,0.09993791580200195,0.003773627315024232,0.01,10,linear,"{'classifier__C': 0.01, 'classifier__gamma': 10, 'classifier__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,48
64,0.5720189412434896,0.03963649025865925,0.6189764340718588,0.12249162041231045,0.01,10,rbf,"{'classifier__C': 0.01, 'classifier__gamma': 10, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
65,0.6636015574137369,0.008849864977411255,0.295086145401001,0.006018050453346929,0.01,10,poly,"{'classifier__C': 0.01, 'classifier__gamma': 10, 'classifier__kernel': 'poly'}",0.06989247311827956,0.08064516129032258,0.10810810810810811,0.08621524750557008,0.01609095159301069,22
66,0.2520877520243327,0.00798366689258872,0.10353493690490723,0.002215310983409812,0.01,1,linear,"{'classifier__C': 0.01, 'classifier__gamma': 1, 'classifier__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,48
67,0.3385292689005534,0.009513561759124154,0.32298803329467773,0.015521563654761539,0.01,1,rbf,"{'classifier__C': 0.01, 'classifier__gamma': 1, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
68,0.4187753200531006,0.01395819689697032,0.19078842798868814,0.004552403654145023,0.01,1,poly,"{'classifier__C': 0.01, 'classifier__gamma': 1, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
69,0.2425847053527832,0.009053011921010858,0.09835243225097656,0.0027995594025664264,0.01,0.1,linear,"{'classifier__C': 0.01, 'classifier__gamma': 0.1, 'classifier__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,48
70,0.22662456830342612,0.03783644008035376,0.22222399711608887,0.04957100626756838,0.01,0.1,rbf,"{'classifier__C': 0.01, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
71,0.23208181063334146,0.00590017127291446,0.09924499193827312,0.004091919871481533,0.01,0.1,poly,"{'classifier__C': 0.01, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
72,0.30052709579467773,0.029407072660519496,0.12714115778605142,0.022309923073982246,0.01,0.01,linear,"{'classifier__C': 0.01, 'classifier__gamma': 0.01, 'classifier__kernel': 'linear'}",0.0,0.0,0.0,0.0,0.0,48
73,0.17907190322875977,0.005772950019806357,0.15398462613423666,0.008981225812160298,0.01,0.01,rbf,"{'classifier__C': 0.01, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,48
74,0.16706045468648276,0.0024018792175358778,0.06586782137552898,0.0013086798533681453,0.01,0.01,poly,"{'classifier__C': 0.01, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.0,0.0,0.0,0.0,0.0,48
