,kalimat,kalimat_token
364,diupgrade malah tambah lancar dari proses login sampe pambayran tiket,"['diupgrade', 'malah', 'tambah', 'lancar', 'dari', 'proses', 'login', 'sampe', 'pambayran', 'tiket']"
155,setelah di upgrade jd susah mesen tiketnya sering pesan dengan metode pembayaran link aja pdhl di hp udah terpasang aplikasinya tp disuruh download,"['setelah', 'di', 'upgrade', 'jd', 'susah', 'mesen', 'tiketnya', 'sering', 'pesan', 'dengan', 'metode', 'pembayaran', 'link', 'aja', 'pdhl', 'di', 'hp', 'udah', 'terpasang', 'aplikasinya', 'tp', 'disuruh', 'download']"
551,aplikasi kaiacces ada update semakin simpel dan mempermudah makin lancar dan ga lemot juga,"['aplikasi', 'kaiacces', 'ada', 'update', 'semakin', 'simpel', 'dan', 'mempermudah', 'makin', 'lancar', 'dan', 'ga', 'lemot', 'juga']"
83,lebih suka tampilan app yg dulu,"['lebih', 'suka', 'tampilan', 'app', 'yg', 'dulu']"
275,udah update ui yang baru tapi kualitas makin buruk mau lihat jadwal krl dari jalur rangkas tanah abang aja gak bisa,"['udah', 'update', 'ui', 'yang', 'baru', 'tapi', 'kualitas', 'makin', 'buruk', 'mau', 'lihat', 'jadwal', 'krl', 'dari', 'jalur', 'rangkas', 'tanah', 'abang', 'aja', 'gak', 'bisa']"
354,update terbaru tampilan terbaru bukanya memperbaiki malah mempersulit tiket udah habis ngapain masih pada nongol lbh suka tampilan yg lama simpel dan tidak beribet,"['update', 'terbaru', 'tampilan', 'terbaru', 'bukanya', 'memperbaiki', 'malah', 'mempersulit', 'tiket', 'udah', 'habis', 'ngapain', 'masih', 'pada', 'nongol', 'lbh', 'suka', 'tampilan', 'yg', 'lama', 'simpel', 'dan', 'tidak', 'beribet']"
79,saya senang dengan pembaruan aplikasi ini karena di aplikasi kai accesa saat ini saya bisa melakukan update no hp karena di aplikasi sebelumnya tidak bisa dan sering gagal di tambah fitur terbaru nya yg sangat membantu pengguna nya buat performanya juga makin canggih dan makin cepet,"['saya', 'senang', 'dengan', 'pembaruan', 'aplikasi', 'ini', 'karena', 'di', 'aplikasi', 'kai', 'accesa', 'saat', 'ini', 'saya', 'bisa', 'melakukan', 'update', 'no', 'hp', 'karena', 'di', 'aplikasi', 'sebelumnya', 'tidak', 'bisa', 'dan', 'sering', 'gagal', 'di', 'tambah', 'fitur', 'terbaru', 'nya', 'yg', 'sangat', 'membantu', 'pengguna', 'nya', 'buat', 'performanya', 'juga', 'makin', 'canggih', 'dan', 'makin', 'cepet']"
23,jadi makin ribet bagi orang tua ini menyusahkan ya ui ux ny kalo dulu lebih sederhana,"['jadi', 'makin', 'ribet', 'bagi', 'orang', 'tua', 'ini', 'menyusahkan', 'ya', 'ui', 'ux', 'ny', 'kalo', 'dulu', 'lebih', 'sederhana']"
507,tampilan yg sekarang bagus dan mudah sangat nyaman,"['tampilan', 'yg', 'sekarang', 'bagus', 'dan', 'mudah', 'sangat', 'nyaman']"
298,tampilan baru memang terlihat fresh tapi ya ampun gak selama ini juga loadingnya dong,"['tampilan', 'baru', 'memang', 'terlihat', 'fresh', 'tapi', 'ya', 'ampun', 'gak', 'selama', 'ini', 'juga', 'loadingnya', 'dong']"
341,kesulitan untuk pembayaran via qris padahal aplikasi sebelum di update aman tanpa kendala error,"['kesulitan', 'untuk', 'pembayaran', 'via', 'qris', 'padahal', 'aplikasi', 'sebelum', 'di', 'update', 'aman', 'tanpa', 'kendala', 'error']"
284,tampilan yg semakin memudahkan,"['tampilan', 'yg', 'semakin', 'memudahkan']"
495,fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun untuk memilih tempat duduk lama sekali pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out akhirnya jadi ngga dapat tiket padahal ini untuk perjalanan mendadak beda jauh dengan waktu aplikasi yang lama sat set bisa cepat ngga loading terus,"['fitur', 'lebih', 'banyak', 'dan', 'tampilan', 'lebih', 'bagus', 'tapi', 'sayang', 'lemotnya', 'minta', 'ampun', 'untuk', 'memilih', 'tempat', 'duduk', 'lama', 'sekali', 'pembayaran', 'tinggal', 'menunggu', 'kode', 'pembayaran', 'lama', 'dan', 'akhirnya', 'time', 'out', 'akhirnya', 'jadi', 'ngga', 'dapat', 'tiket', 'padahal', 'ini', 'untuk', 'perjalanan', 'mendadak', 'beda', 'jauh', 'dengan', 'waktu', 'aplikasi', 'yang', 'lama', 'sat', 'set', 'bisa', 'cepat', 'ngga', 'loading', 'terus']"
556,upgrade yang baru bagus dan lancar di pembayaran pake qris nya juga lancar,"['upgrade', 'yang', 'baru', 'bagus', 'dan', 'lancar', 'di', 'pembayaran', 'pake', 'qris', 'nya', 'juga', 'lancar']"
137,semakin canggih ni apk sekarng kalo mau pesen tiket gausah nulis nama satu soalnya nama yang sudah pernah masuk keseimpen jadi tinggal nambahin,"['semakin', 'canggih', 'ni', 'apk', 'sekarng', 'kalo', 'mau', 'pesen', 'tiket', 'gausah', 'nulis', 'nama', 'satu', 'soalnya', 'nama', 'yang', 'sudah', 'pernah', 'masuk', 'keseimpen', 'jadi', 'tinggal', 'nambahin']"
