,kalimat
194,"setelah memperbarui jadi makin lancar, untuk buka aplikasinya langsung satset, tetapi menurut saya tampilan antarmukanya bagusan yang sebelumnya"
519,aplikasi terbaru otomatis. tampilannya sekarang tambah ribet dan bikin bingung. lebih simpel tampilan yang lama. seharusnya kalau memang ada perbarui lebih mempermudah. ini malah sebaliknya.
344,"habis memperbarui malah ribet dan sangat sangat lambat, tolong dibenahi lagi apa karena masih baru memperbarui belum dilalukan percobaan atau bagaimana, cota di pencarian stasiun kereta sangat lambat memuatnya dan stasiun tidak ditemukan padahal di versi sebelumnya bisa langsung bertemu dan cepat, pilih tempat duduk memuat sampai 20 menit belum selesai akhirnya beli di traveloka saja, kembalikan ke versi sebelumnya saja, di tes dahulu sampai benar-benar jalan semua fiturnya sebelum aplikasinya diluncurkan buat umum, semoga dibenarkan"
594,tampilan oke pemesanan cepat langsung dapat
525,"tampilan yang sekarang bagus dan mudah, sangat nyaman"
67,"saat ini aplikasinya malah jadi kurang membantu detail kendala. memuatnya lama sekali, saat mau cek jadwal komuter line susah sekali mencari nama stasiun. memakan banyak waktu memuat namun hasil pencarian malah tidak keluar."
338,"banyak fitur dan pilihannya tetapi enggak busa sama saja kalau tidak bisa terakses, lebih running sama versi yang lamanya, merugikan konsumen apabila ada sesuatu mendesak dan butuh reshcedulle tiket tetapi enggak bisa, sudah coba telepon dan tanya ke 021121 servis center juga enggak ada solusi, sudah saya coba manual copot kemudian unduh pasang lagi. sama saja enggak bisa. harus jadi perhatian dong ini"
168,"setelah memperbarui jadi mudah buat masuk, enggak butuh waktu yang lama untuk masuk. keren nih aplikasi terbarunya"
533,"setelah memperbarui yang terbaru tampilan oke, kualitasnya juga bagus banget. memuat pas buka aplikasinya juga enggak lama, pas mau ke pembayaran juga lancar banget, pembayarannya dapat dilakukan dengan mudah. ini nih aplikasi yang kita butuhkan cepat, simpel, dan mudah."
162,fiturnya banyak. sepaket lambat juga minta ampun.
309,lemot.! mau pesan tiket lokal saja lama memuatnya! pesan harus daring tetapi aplikasinya lambat parah. sudah sulit jadi makin dipersulit
193,diperbarui bukannya makin bagus malah makin buruk. tidak sesuai simpel praktis dahulu. banyak iklan.
152,solusi pembelian tiket kereta api yang mudah
346,"pembaruannya bagus, bagus banget, apalagi tampulannya jadi lebih baru"
356,lebih mudah untuk pemesanan tiket
226,"jarang banget mengasih ulasan begini, tetapi ini pasti super lambat banget, kukira makin baik, eh cuma tampilannya doang, masa mau buka aplikasi saja lemot pol, kalau kayak begini, kan enggak bisa bur ""buka pas mau penipuan kode ya"
